STATUS | wrapper  | 2015/09/10 10:41:12 | --> Wrapper Started as Console
INFO   | jvm 1    | 2015/09/10 10:43:12 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2015/09/10 10:43:12 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2015/09/10 10:43:12 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2015/09/10 10:43:12 |           Reported cause:
INFO   | jvm 1    | 2015/09/10 10:43:12 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2015/09/10 10:43:12 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/09/10 10:43:12 | 
INFO   | jvm 1    | 2015/09/10 10:43:12 | TCP server running at tcp://192.168.154.1:50938 (only local connections)
INFO   | jvm 1    | 2015/09/10 10:43:12 | The Web Console server could not be started. Possible cause: another server is already running at http://192.168.154.1:8082
INFO   | jvm 1    | 2015/09/10 10:43:12 | 
INFO   | jvm 1    | 2015/09/10 10:43:12 | WrapperSimpleApp: Encountered an error running main: org.h2.jdbc.JdbcSQLException: Exception opening port "8082" (port may be in use), cause: "java.net.BindException: Address already in use: JVM_Bind" [90061-188]
INFO   | jvm 1    | 2015/09/10 10:43:12 | org.h2.jdbc.JdbcSQLException: Exception opening port "8082" (port may be in use), cause: "java.net.BindException: Address already in use: JVM_Bind" [90061-188]
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.message.DbException.getJdbcSQLException(DbException.java:345)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.message.DbException.get(DbException.java:168)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.util.NetUtils.createServerSocketTry(NetUtils.java:194)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.util.NetUtils.createServerSocket(NetUtils.java:160)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.server.web.WebServer.start(WebServer.java:342)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.tools.Server.start(Server.java:484)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.tools.Server.runTool(Server.java:323)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.tools.Server.main(Server.java:118)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | Caused by: java.net.BindException: Address already in use: JVM_Bind
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.net.DualStackPlainSocketImpl.bind0(Native Method)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.net.DualStackPlainSocketImpl.socketBind(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.net.AbstractPlainSocketImpl.bind(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.net.PlainSocketImpl.bind(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.net.ServerSocket.bind(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.net.ServerSocket.<init>(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at java.net.ServerSocket.<init>(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	at org.h2.util.NetUtils.createServerSocketTry(NetUtils.java:190)
INFO   | jvm 1    | 2015/09/10 10:43:12 | 	... 11 more
STATUS | wrapper  | 2015/09/10 10:43:14 | <-- Wrapper Stopped
STATUS | wrapper  | 2015/09/10 10:43:41 | --> Wrapper Started as Console
STATUS | wrapper  | 2015/09/10 10:43:41 | Launching a JVM...
INFO   | jvm 1    | 2015/09/10 10:43:41 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/09/10 10:43:41 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/09/10 10:43:41 | 
INFO   | jvm 1    | 2015/09/10 10:43:41 | 
INFO   | jvm 1    | 2015/09/10 10:43:41 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2015/09/10 10:43:41 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2015/09/10 10:43:41 |           could not be loaded:
INFO   | jvm 1    | 2015/09/10 10:43:41 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 1    | 2015/09/10 10:43:41 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2015/09/10 10:43:41 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2015/09/10 10:43:41 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2015/09/10 10:43:41 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2015/09/10 10:43:41 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2015/09/10 10:43:41 |           Reported cause:
INFO   | jvm 1    | 2015/09/10 10:43:41 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2015/09/10 10:43:41 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/09/10 10:43:41 | 
INFO   | jvm 1    | 2015/09/10 10:43:41 | TCP server running at tcp://192.168.154.1:50965 (only local connections)
INFO   | jvm 1    | 2015/09/10 10:43:42 | The Web Console server could not be started. Possible cause: another server is already running at http://192.168.154.1:8082
INFO   | jvm 1    | 2015/09/10 10:43:42 | 
INFO   | jvm 1    | 2015/09/10 10:43:42 | WrapperSimpleApp: Encountered an error running main: org.h2.jdbc.JdbcSQLException: Exception opening port "8082" (port may be in use), cause: "java.net.BindException: Address already in use: JVM_Bind" [90061-188]
INFO   | jvm 1    | 2015/09/10 10:43:42 | org.h2.jdbc.JdbcSQLException: Exception opening port "8082" (port may be in use), cause: "java.net.BindException: Address already in use: JVM_Bind" [90061-188]
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.message.DbException.getJdbcSQLException(DbException.java:345)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.message.DbException.get(DbException.java:168)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.util.NetUtils.createServerSocketTry(NetUtils.java:194)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.util.NetUtils.createServerSocket(NetUtils.java:160)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.server.web.WebServer.start(WebServer.java:342)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.tools.Server.start(Server.java:484)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.tools.Server.runTool(Server.java:323)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.tools.Server.main(Server.java:118)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | Caused by: java.net.BindException: Address already in use: JVM_Bind
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.net.DualStackPlainSocketImpl.bind0(Native Method)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.net.DualStackPlainSocketImpl.socketBind(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.net.AbstractPlainSocketImpl.bind(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.net.PlainSocketImpl.bind(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.net.ServerSocket.bind(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.net.ServerSocket.<init>(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at java.net.ServerSocket.<init>(Unknown Source)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	at org.h2.util.NetUtils.createServerSocketTry(NetUtils.java:190)
INFO   | jvm 1    | 2015/09/10 10:43:42 | 	... 11 more
STATUS | wrapper  | 2015/09/10 10:43:43 | <-- Wrapper Stopped
ERROR  | wrapper  | 2015/09/10 15:04:48 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2015/09/10 15:04:51 | JVM did not exit on request, terminated
STATUS | wrapper  | 2015/09/10 15:04:57 | Launching a JVM...
INFO   | wrapper  | 2015/09/10 15:05:29 | Wrapper Process has not received any CPU time for 32 seconds.  Extending timeouts.
ERROR  | wrapper  | 2015/09/10 15:05:58 | Startup failed: Timed out waiting for a signal from the JVM.
ERROR  | wrapper  | 2015/09/10 15:05:58 | JVM did not exit on request, terminated
STATUS | wrapper  | 2015/09/10 15:06:03 | Launching a JVM...
INFO   | jvm 3    | 2015/09/10 15:06:06 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 3    | 2015/09/10 15:06:06 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 3    | 2015/09/10 15:06:06 | 
INFO   | jvm 3    | 2015/09/10 15:06:06 | 
INFO   | jvm 3    | 2015/09/10 15:06:06 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 3    | 2015/09/10 15:06:06 |           The file is located on the path at the following location but
INFO   | jvm 3    | 2015/09/10 15:06:06 |           could not be loaded:
INFO   | jvm 3    | 2015/09/10 15:06:06 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 3    | 2015/09/10 15:06:06 |           Please verify that the file is readable by the current user
INFO   | jvm 3    | 2015/09/10 15:06:06 |           and that the file has not been corrupted in any way.
INFO   | jvm 3    | 2015/09/10 15:06:06 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 3    | 2015/09/10 15:06:06 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 3    | 2015/09/10 15:06:06 |           This is a 64-bit JVM.
INFO   | jvm 3    | 2015/09/10 15:06:06 |           Reported cause:
INFO   | jvm 3    | 2015/09/10 15:06:06 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 3    | 2015/09/10 15:06:06 |           System signals will not be handled correctly.
INFO   | jvm 3    | 2015/09/10 15:06:06 | 
INFO   | jvm 3    | 2015/09/10 15:06:16 | TCP server running at tcp://192.168.154.1:9092 (only local connections)
INFO   | jvm 3    | 2015/09/10 15:06:17 | Web Console server running at http://192.168.154.1:8082 (only local connections)
STATUS | wrapper  | 2015/09/11 16:25:52 | Machine is shutting down.
ERROR  | wrapper  | 2015/09/11 16:26:19 | Shutdown failed: Timed out waiting for the JVM to terminate.
ERROR  | wrapper  | 2015/09/11 16:26:20 | JVM did not exit on request, terminated
STATUS | wrapper  | 2015/09/11 16:26:20 | <-- Wrapper Stopped
STATUS | wrapper  | 2015/09/11 16:28:14 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/09/11 16:28:14 | Launching a JVM...
ERROR  | wrapper  | 2015/09/11 16:28:46 | Startup failed: Timed out waiting for a signal from the JVM.
ERROR  | wrapper  | 2015/09/11 16:28:46 | JVM did not exit on request, terminated
STATUS | wrapper  | 2015/09/11 16:28:51 | Launching a JVM...
INFO   | jvm 2    | 2015/09/11 16:28:55 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 2    | 2015/09/11 16:28:55 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 2    | 2015/09/11 16:28:55 | 
INFO   | jvm 2    | 2015/09/11 16:28:56 | 
INFO   | jvm 2    | 2015/09/11 16:28:56 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 2    | 2015/09/11 16:28:56 |           The file is located on the path at the following location but
INFO   | jvm 2    | 2015/09/11 16:28:56 |           could not be loaded:
INFO   | jvm 2    | 2015/09/11 16:28:56 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 2    | 2015/09/11 16:28:56 |           Please verify that the file is readable by the current user
INFO   | jvm 2    | 2015/09/11 16:28:56 |           and that the file has not been corrupted in any way.
INFO   | jvm 2    | 2015/09/11 16:28:56 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 2    | 2015/09/11 16:28:56 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 2    | 2015/09/11 16:28:56 |           This is a 64-bit JVM.
INFO   | jvm 2    | 2015/09/11 16:28:56 |           Reported cause:
INFO   | jvm 2    | 2015/09/11 16:28:56 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 2    | 2015/09/11 16:28:56 |           System signals will not be handled correctly.
INFO   | jvm 2    | 2015/09/11 16:28:56 | 
INFO   | jvm 2    | 2015/09/11 16:29:49 | TCP server running at tcp://192.168.154.1:9092 (only local connections)
INFO   | jvm 2    | 2015/09/11 16:29:58 | Web Console server running at http://192.168.154.1:8082 (only local connections)
STATUS | wrapper  | 2015/09/12 00:30:42 | Machine is shutting down.
STATUS | wrapper  | 2015/09/12 00:30:49 | <-- Wrapper Stopped
STATUS | wrapper  | 2015/09/12 11:45:51 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/09/12 11:45:51 | Launching a JVM...
INFO   | jvm 1    | 2015/09/12 11:46:03 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/09/12 11:46:03 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/09/12 11:46:03 | 
INFO   | jvm 1    | 2015/09/12 11:46:03 | 
INFO   | jvm 1    | 2015/09/12 11:46:03 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2015/09/12 11:46:03 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2015/09/12 11:46:03 |           could not be loaded:
INFO   | jvm 1    | 2015/09/12 11:46:03 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 1    | 2015/09/12 11:46:03 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2015/09/12 11:46:03 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2015/09/12 11:46:03 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2015/09/12 11:46:03 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2015/09/12 11:46:03 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2015/09/12 11:46:03 |           Reported cause:
INFO   | jvm 1    | 2015/09/12 11:46:03 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2015/09/12 11:46:03 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/09/12 11:46:03 | 
INFO   | jvm 1    | 2015/09/12 11:46:07 | TCP server running at tcp://192.168.154.1:9092 (only local connections)
INFO   | jvm 1    | 2015/09/12 11:46:07 | Web Console server running at http://192.168.154.1:8082 (only local connections)
STATUS | wrapper  | 2015/09/14 14:08:30 | Machine is shutting down.
STATUS | wrapper  | 2015/09/14 14:08:47 | <-- Wrapper Stopped
STATUS | wrapper  | 2015/09/14 15:22:11 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/09/14 15:22:12 | Launching a JVM...
INFO   | jvm 1    | 2015/09/14 15:22:33 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/09/14 15:22:33 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/09/14 15:22:33 | 
INFO   | jvm 1    | 2015/09/14 15:22:34 | 
INFO   | jvm 1    | 2015/09/14 15:22:34 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2015/09/14 15:22:34 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2015/09/14 15:22:34 |           could not be loaded:
INFO   | jvm 1    | 2015/09/14 15:22:34 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 1    | 2015/09/14 15:22:34 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2015/09/14 15:22:34 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2015/09/14 15:22:34 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2015/09/14 15:22:34 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2015/09/14 15:22:34 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2015/09/14 15:22:34 |           Reported cause:
INFO   | jvm 1    | 2015/09/14 15:22:34 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2015/09/14 15:22:34 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/09/14 15:22:34 | 
INFO   | jvm 1    | 2015/09/14 15:22:36 | TCP server running at tcp://192.168.154.1:9092 (only local connections)
INFO   | jvm 1    | 2015/09/14 15:22:36 | Web Console server running at http://192.168.154.1:8082 (only local connections)
STATUS | wrapper  | 2015/09/15 05:49:52 | Machine is shutting down.
INFO   | jvm 1    | 2015/09/15 05:49:54 | Wrapper Manager: Unable to unregister shutdown hook: java.lang.IllegalStateException: Shutdown in progress
STATUS | wrapper  | 2015/09/15 05:50:01 | <-- Wrapper Stopped
STATUS | wrapper  | 2015/09/15 12:21:46 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/09/15 12:21:46 | Launching a JVM...
INFO   | jvm 1    | 2015/09/15 12:21:53 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/09/15 12:21:53 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/09/15 12:21:53 | 
INFO   | jvm 1    | 2015/09/15 12:22:00 | 
INFO   | jvm 1    | 2015/09/15 12:22:00 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2015/09/15 12:22:00 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2015/09/15 12:22:00 |           could not be loaded:
INFO   | jvm 1    | 2015/09/15 12:22:00 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 1    | 2015/09/15 12:22:00 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2015/09/15 12:22:00 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2015/09/15 12:22:00 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2015/09/15 12:22:00 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2015/09/15 12:22:00 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2015/09/15 12:22:00 |           Reported cause:
INFO   | jvm 1    | 2015/09/15 12:22:00 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2015/09/15 12:22:00 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/09/15 12:22:00 | 
INFO   | jvm 1    | 2015/09/15 12:22:05 | TCP server running at tcp://192.168.154.1:9092 (only local connections)
INFO   | jvm 1    | 2015/09/15 12:22:06 | Web Console server running at http://192.168.154.1:8082 (only local connections)
STATUS | wrapper  | 2015/09/15 15:32:25 | Machine is shutting down.
INFO   | jvm 1    | 2015/09/15 15:32:30 | Wrapper Manager: Unable to unregister shutdown hook: java.lang.IllegalStateException: Shutdown in progress
STATUS | wrapper  | 2015/09/15 15:32:40 | <-- Wrapper Stopped
STATUS | wrapper  | 2015/09/15 15:34:37 | --> Wrapper Started as Service
